center,url
株式会社アトム　すし、焼肉、ステーキ、居酒屋,https://www.atom-corp.co.jp/
株式会社あっぷるアイビー　ハンバーグ、パスタ、ピザ,https://appleivy.co.jp/service/
株式会社浅田屋　料亭　ステーキハウス,https://www.asadaya.co.jp/
有限会社いきいき亭　利益○　２０１９，２４３１９千円、８３６９,https://github.com/commonsense/metanl/blob/master/metanl/data/source-data/internet-ja-forms.num
料亭、割烹　海老亭別館,https://ebitei-bekkan.com/
株式会社柿里　☓　ステーキハウス,https://www.kakizato.co.jp/
株式会社金城楼　　　天ぷら　２０２１，３００，０００千円,https://www.kinjohro.co.jp/tenkane/
株式会社翔志　　　　らーめん世界,https://shoushi.jp/
株式会社つば甚　　　石川,https://tsubajin.co.jp/
和食、結婚式,https://www.weddingpark.net/osusume/food_japanese/
株式会社七越,https://nanakosi.com/company.html
日本海給食株式会社　ふそうバス,https://www.hellowork.careers/%E6%97%A5%E6%9C%AC%E6%B5%B7%E7%B5%A6%E9%A3%9F%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%AA%BF%E7%90%86%E8%A3%9C%E5%8A%A9%EF%BC%88%E4%B8%89%E8%8F%B1%E3%81%B5%E3%81%9D%E3%81%86%E3%83%90%E3%82%B9%E8%A3%BD%E9%80%A0%EF%BC%89%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E5%AF%8C%E5%B1%B1%E7%9C%8C%E5%AF%8C%E5%B1%B1%E5%B8%82%EF%BC%89-%2016010-08830131/%E5%BF%9C%E5%8B%9F%E6%96%B9%E6%B3%95
有限会社ファロー,https://w41flcuw.jbplt.jp/
株式会社八幡　　　　うどん,https://baseconnect.in/companies/530a434c-60b1-43de-bdbe-1098851e0346
株式会社ユニオンランチ　新庄　配食、企業弁当,https://bso15471.bsj.jp/
五十嶋商事有限会社　旅館、　山小屋,https://biz-maps.com/item/L4lo0Dr9Zv
春日温泉観光開発株式会社,https://www.yu-toriaettyu.co.jp/
株式会社金太郎温泉,https://www.kintarouonsen.co.jp/corporate/
株式会社フェイウイング　ホテル、レストラン、クアガーデン,https://en-gage.net/sakuragaike/work_4572268/
株式会社スカイホテル,https://uozu-sumitai.jp/archives/company/664
辰口観光株式会社　料亭旅館　利益○,https://www.matsusaki.jp/company/
館山観光ターミナル株式会社,https://tkk.alpen-route.co.jp/sub/tkt
